layer,type,score,confidence_pct,entity_count,sig_name_door,sig_name_window,sig_name_match,sig_block_door,sig_block_window,sig_block_samples,sig_entity_door,sig_entity_window,sig_arc_count,sig_insert_count,sig_line_count,sig_ratio_door,sig_ratio_window,arc_ratio,insert_ratio,sig_geo_door,sig_geo_window,geo_arc_analyzed,geo_poly_analyzed
6蘹慠栎,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
TBLOCK DM$0$X-title block_T_TEXT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
2蘩慠朎,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A_H_LAY,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A_T_TEXT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
顊絉H,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
z蘱慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
沔憤橈$,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
S蘪慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
颂絉H,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
H蘨慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
D蘨慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-118_Roof and Pool Floor Plan$0$G,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
G蘨慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-118_Roof and Pool Floor Plan$0$TA - HIDE,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-118_Roof and Pool Floor Plan$0$TA - WALL,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
d蘨慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
(swming pool) Floor Slab Limit$0$EC-TEXT-30-SCAL,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
4.Roof 1 (swming pool) Floor Slab Limit$0$EC-HATC,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
頲絉H,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0$Xref-Typical-Mechanical$0$EC-WALL-,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
4.Roof 1 (swming pool) Floor Slab Limit$0$EC-VOID,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0$15- ROOF 1 FLOOR COLUMNS$0$EC-STAI,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
i蘩慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0$15- ROOF 1 FLOOR COLUMNS$0$EC-HATC,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
1 FLOOR COLUMNS$0$EC-TEXT-30-SCA,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
戤伤戄値护判扄攤拄尤戄匤拤弤拤愤抄攤扤,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
