layer,type,score,confidence_pct,entity_count,sig_name_door,sig_name_window,sig_name_match,sig_block_door,sig_block_window,sig_block_samples,sig_entity_door,sig_entity_window,sig_arc_count,sig_insert_count,sig_line_count,sig_ratio_door,sig_ratio_window,arc_ratio,insert_ratio,sig_geo_door,sig_geo_window,geo_arc_analyzed,geo_poly_analyzed
7蘹晠螳,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$0.09 PEN,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
N蘺晠袳,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$HATCH,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
LIFT 8 and 9$0$DRAW,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_OPENINGS,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
狍闅ふ狍,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
H蘺晠鋅,uncertain,0,0.0,1,0,0,,0,0,,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0
词逖さ狍羴,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
20082017_Podium_inner_Facade$0$T_Schraffur_LM-Blech,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
摖怀怀瀀搀怀戀渀,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
摚怀怀瀀搀怀戀渀,uncertain,0,0.0,2,0,0,,0,0,,0,0,0,0,2,0,0,0.0,0.0,0,0,0,0
耄耊怊怌,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
20082017_Podium_inner_Facade$0$T_ACHSEN,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
L聁悆,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
词造さ狍炴,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
20082017_Podium_inner_Facade$0$S07_Isolation_Kontur,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
20082017_Podium_inner_Facade$0$T_Schraffur_LM-Blech-1zu2,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
S蘺晠鋅,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
L-DE-18,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
20082017_Podium_inner_Facade$0$10150-0,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
00_FO OBJECT,uncertain,0,0.0,1,0,0,,0,0,,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0
A_D_100,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-GLASS,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-CLOUD,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-CLOUD20190408,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$Light Type W1,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$TAG LIGHT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A蘰晠胕,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-UPPER,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
L-DE-SCR-50,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
L-DE-14,uncertain,0,0.0,1749,0,0,,0,0,,0,0,0,0,1749,0,0,0.0,0.0,0,0,0,0
LIFT 8 and 9$0$A-TEXT-3,uncertain,0,0.0,1,0,0,,0,0,,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0
9蘨晠亿,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
狍集づ狍,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
鸀鰀鈀萀頀言琀,uncertain,0,0.0,1,0,0,,0,0,,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0
GFC STAMP$0$LOGO,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
GFC STAMP$0$A-txt,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
